instruNet waves in merged TEXT form #2

Notes:	
Date & Time:	01/20/2020	17:38:52
ChanName:	Ch1 Vin+	Ch4 Vin+
UserName:	Ch1 Vin+	Ch4 Vin+
vUnits:	Volts	Volts
hUnits:	Secs	Secs
PtsPerScan:	0000010000	0000010000
NumScansBeforeLastScan:	0000000000	0000000000
PtsInLastScan:	0000010000	0000010000
1stPtTime:	+0.000000000e+000	+0.000000000e+000
SamplePeriod:	+2.000000000e-001	+2.000000000e-001
netNum:	01	01
devNum:	01	01
modNum:	01	01
chNum:	001	004
BytesPerRow:	-1	-1
FirstDataByte:	-1	-1
key:	21940	21940
1904secs:	3662402482	3662402482
DataType:	+05	+05
Internal1:	+5.000000000e+000	+5.000000000e+000
External1:	+5.000000000e+000	+5.000000000e+000
Internal2:	-5.000000000e+000	-5.000000000e+000
External2:	-5.000000000e+000	-5.000000000e+000
Secs	Ch1 Vin+	Ch4 Vin+
+4.6400000e+1	+1.0683596e+0	+0.1359418e-2
+4.6600000e+1	+1.0695803e+0	+0.1364175e-2
+4.6800000e+1	+1.0634767e+0	+0.1362985e-2
+4.7000000e+1	+1.0732425e+0	+0.1376067e-2
+4.7200000e+1	+1.0762944e+0	+0.1342769e-2
+4.7400000e+1	+1.0732425e+0	+0.1364175e-2
+4.7600000e+1	+1.0750737e+0	+0.1371310e-2
+4.7800000e+1	+1.0836189e+0	+0.1352283e-2
+4.8000000e+1	+1.0781256e+0	+0.1371310e-2
+4.8200000e+1	+1.0659181e+0	+0.1377256e-2
+4.8400000e+1	+1.0823982e+0	+0.1370121e-2
+4.8600000e+1	+1.0787359e+0	+0.1332066e-2
+4.8800000e+1	+1.0744634e+0	+0.1353472e-2
+4.9000000e+1	+1.0744634e+0	+0.1364175e-2
+4.9200000e+1	+1.0726322e+0	+0.1362985e-2
+4.9400000e+1	+1.0714115e+0	+0.1370121e-2
+4.9600000e+1	+1.0677493e+0	+0.1384391e-2
+4.9800000e+1	+1.0695803e+0	+0.1374877e-2
+5.0000000e+1	+1.0793463e+0	+0.1339202e-2
+5.0200000e+1	+1.0891123e+0	+0.1351094e-2
+5.0400000e+1	+1.0872811e+0	+0.1371310e-2
+5.0600000e+1	+1.0854501e+0	+0.1328499e-2
+5.0800000e+1	+1.0897226e+0	+0.1372499e-2
+5.1000000e+1	+1.0885019e+0	+0.1315418e-2
+5.1200000e+1	+1.0750737e+0	+0.1362985e-2
+5.1400000e+1	+1.0701907e+0	+0.1348715e-2
+5.1600000e+1	+1.0799567e+0	+0.1358229e-2
+5.1800000e+1	+1.0817878e+0	+0.1374877e-2
+5.2000000e+1	+1.0775152e+0	+0.1354661e-2
+5.2200000e+1	+1.0775152e+0	+0.1377256e-2
+5.2400000e+1	+1.0799567e+0	+0.1359418e-2
+5.2600000e+1	+1.0732425e+0	+0.1368931e-2
+5.2800000e+1	+1.0830085e+0	+0.1357040e-2
+5.3000000e+1	+1.0805671e+0	+0.1372499e-2
+5.3200000e+1	+1.0732425e+0	+0.1370121e-2
+5.3400000e+1	+1.0836189e+0	+0.1370121e-2
+5.3600000e+1	+1.0958264e+0	+0.1402229e-2
+5.3800000e+1	+1.0750737e+0	+0.1384391e-2
+5.4000000e+1	+1.0781256e+0	+0.1343958e-2
+5.4200000e+1	+1.0860604e+0	+0.1403418e-2
+5.4400000e+1	+1.0732425e+0	+0.1370121e-2
+5.4600000e+1	+1.0750737e+0	+0.1374877e-2
+5.4800000e+1	+1.0756841e+0	+0.1352283e-2
+5.5000000e+1	+1.0854501e+0	+0.1336823e-2
+5.5200000e+1	+1.0793463e+0	+0.1384391e-2
+5.5400000e+1	+1.0836189e+0	+0.1362985e-2
+5.5600000e+1	+1.0769048e+0	+0.1358229e-2
+5.5800000e+1	+1.0817878e+0	+0.1359418e-2
+5.6000000e+1	+1.0750737e+0	+0.1342769e-2
+5.6200000e+1	+1.0781256e+0	+0.1396283e-2
+5.6400000e+1	+1.0769048e+0	+0.1339202e-2
+5.6600000e+1	+1.0714115e+0	+0.1367742e-2
+5.6800000e+1	+1.0695803e+0	+0.1366553e-2
+5.7000000e+1	+1.0720218e+0	+0.1345148e-2
+5.7200000e+1	+1.0726322e+0	+0.1342769e-2
+5.7400000e+1	+1.0701907e+0	+0.1371310e-2
+5.7600000e+1	+1.0732425e+0	+0.1379634e-2
+5.7800000e+1	+1.0720218e+0	+0.1348715e-2
+5.8000000e+1	+1.0732425e+0	+0.1386769e-2
+5.8200000e+1	+1.0708011e+0	+0.1359418e-2
+5.8400000e+1	+1.0732425e+0	+0.1383202e-2
+5.8600000e+1	+1.0732425e+0	+0.1342769e-2
+5.8800000e+1	+1.0787359e+0	+0.1390337e-2
+5.9000000e+1	+1.0744634e+0	+0.1362985e-2
+5.9200000e+1	+1.0781256e+0	+0.1332066e-2
+5.9400000e+1	+1.0714115e+0	+0.1370121e-2
+5.9600000e+1	+1.0750737e+0	+0.1348715e-2
+5.9800000e+1	+1.0799567e+0	+0.1329688e-2
+6.0000000e+1	+1.0738530e+0	+0.1366553e-2
+6.0200000e+1	+1.0799567e+0	+0.1367742e-2
+6.0400000e+1	+1.0769048e+0	+0.1401040e-2
+6.0600000e+1	+1.0830085e+0	+0.1386769e-2
+6.0800000e+1	+1.0793463e+0	+0.1334445e-2
+6.1000000e+1	+1.0732425e+0	+0.1372499e-2
+6.1200000e+1	+1.0750737e+0	+0.1352283e-2
+6.1400000e+1	+1.0854501e+0	+0.1339202e-2
+6.1600000e+1	+1.0854501e+0	+0.1367742e-2
+6.1800000e+1	+1.0744634e+0	+0.1336823e-2
+6.2000000e+1	+1.0842294e+0	+0.1354661e-2
+6.2200000e+1	+1.0842294e+0	+0.1370121e-2
+6.2400000e+1	+1.0781256e+0	+0.1351094e-2
+6.2600000e+1	+1.0891123e+0	+0.1336823e-2
+6.2800000e+1	+1.0823982e+0	+0.1339202e-2
+6.3000000e+1	+1.0946057e+0	+0.1371310e-2
+6.3200000e+1	+1.0799567e+0	+0.1390337e-2
+6.3400000e+1	+1.0799567e+0	+0.1366553e-2
+6.3600000e+1	+1.0695803e+0	+0.1368931e-2
+6.3800000e+1	+1.0726322e+0	+0.1378445e-2
+6.4000000e+1	+1.0720218e+0	+0.1349904e-2
+0.6420000e+2	+1.0964367e+0	+0.1351094e-2
+0.6440000e+2	+1.0872811e+0	+0.1367742e-2
+0.6460000e+2	+1.0866708e+0	+0.1358229e-2
+0.6480000e+2	+1.0872811e+0	+0.1362985e-2
+0.6500000e+2	+1.0842294e+0	+0.1335634e-2
+0.6520000e+2	+1.0775152e+0	+0.1366553e-2
+0.6540000e+2	+1.0769048e+0	+0.1390337e-2
+0.6560000e+2	+1.0659181e+0	+0.1370121e-2
+0.6580000e+2	+1.0708011e+0	+0.1346337e-2
+0.6600000e+2	+1.0750737e+0	+0.1364175e-2
+0.6620000e+2	+1.0793463e+0	+0.1368931e-2
+0.6640000e+2	+1.0756841e+0	+0.1367742e-2
+0.6660000e+2	+1.0811775e+0	+0.1366553e-2
+0.6680000e+2	+1.0762944e+0	+0.1320175e-2
+0.6700000e+2	+1.0793463e+0	+0.1339202e-2
+0.6720000e+2	+1.0750737e+0	+0.1336823e-2
+0.6740000e+2	+1.0933849e+0	+0.1362985e-2
+0.6760000e+2	+1.0714115e+0	+0.1358229e-2
+0.6780000e+2	+1.0872811e+0	+0.1343958e-2
+0.6800000e+2	+1.0793463e+0	+0.1360607e-2
+0.6820000e+2	+1.0805671e+0	+0.1380823e-2
+0.6840000e+2	+1.0726322e+0	+0.1352283e-2
+0.6860000e+2	+1.0854501e+0	+0.1371310e-2
+0.6880000e+2	+1.0732425e+0	+0.1358229e-2
+0.6900000e+2	+1.0750737e+0	+0.1357040e-2
+0.6920000e+2	+1.0787359e+0	+0.1338013e-2
+0.6940000e+2	+1.0854501e+0	+0.1341580e-2
+0.6960000e+2	+1.0817878e+0	+0.1386769e-2
+0.6980000e+2	+1.0927745e+0	+0.1373688e-2
+0.7000000e+2	+1.0872811e+0	+0.1334445e-2
+0.7020000e+2	+1.0799567e+0	+0.1341580e-2
+0.7040000e+2	+1.0799567e+0	+0.1347526e-2
+0.7060000e+2	+1.0762944e+0	+0.1342769e-2
+0.7080000e+2	+1.0878916e+0	+0.1347526e-2
+0.7100000e+2	+1.0872811e+0	+0.1360607e-2
+0.7120000e+2	+1.0903330e+0	+0.1362985e-2
+0.7140000e+2	+1.0830085e+0	+0.1334445e-2
+0.7160000e+2	+1.0878916e+0	+0.1382013e-2
+0.7180000e+2	+1.0738530e+0	+0.1318985e-2
+0.7200000e+2	+1.0805671e+0	+0.1377256e-2
+0.7220000e+2	+1.0878916e+0	+0.1345148e-2
+0.7240000e+2	+1.0854501e+0	+0.1324931e-2
+0.7260000e+2	+1.0854501e+0	+0.1352283e-2
+0.7280000e+2	+1.0891123e+0	+0.1392715e-2
+0.7300000e+2	+1.0854501e+0	+0.1339202e-2
+0.7320000e+2	+1.0885019e+0	+0.1332066e-2
+0.7340000e+2	+1.0811775e+0	+0.1396283e-2
